iter	Passed	Remaining
0	1	154
1	2	142
2	4	137
3	5	130
4	6	131
5	8	131
6	9	130
7	11	129
8	12	131
9	14	131
10	17	138
11	19	141
12	20	138
13	22	135
14	23	134
15	25	131
16	26	129
17	28	129
18	30	130
19	32	129
20	34	129
21	36	128
22	38	127
23	39	125
24	40	122
25	43	123
26	44	120
27	46	118
28	47	117
29	49	114
30	50	112
31	52	110
32	53	108
33	54	106
34	56	104
35	58	103
36	59	102
37	61	100
38	63	99
39	64	97
40	66	95
41	67	93
42	69	91
43	70	90
44	72	88
45	74	87
46	75	85
47	77	83
48	78	81
49	79	79
50	81	78
51	82	76
52	84	74
53	85	73
54	87	71
55	88	69
56	90	68
57	91	66
58	93	64
59	94	63
60	96	61
61	97	59
62	98	58
63	100	56
64	102	55
65	104	53
66	105	51
67	106	50
68	107	48
69	109	46
70	110	45
71	111	43
72	113	41
73	114	40
74	115	38
75	117	37
76	119	35
77	120	34
78	122	32
79	124	31
80	125	29
81	126	27
82	127	26
83	129	24
84	130	22
85	131	21
86	133	19
87	134	18
88	135	16
89	136	15
90	137	13
91	139	12
92	140	10
93	141	9
94	143	7
95	144	6
96	145	4
97	147	3
98	148	1
99	150	0
