iter	Passed	Remaining
0	169	168892
1	173	86416
2	176	58569
3	181	45183
4	185	36820
5	187	31094
6	191	27215
7	198	24606
8	202	22272
9	205	20376
10	210	18908
11	216	17817
12	222	16884
13	228	16099
14	236	15561
15	241	14842
16	244	14115
17	248	13546
18	251	12960
19	254	12446
20	256	11964
21	261	11608
22	265	11293
23	268	10912
24	272	10643
25	275	10336
26	278	10044
27	281	9758
28	285	9566
29	288	9327
30	292	9138
31	297	9008
32	302	8851
33	305	8682
34	310	8556
35	315	8458
36	319	8325
37	324	8220
38	329	8121
39	333	7996
40	336	7876
41	341	7780
42	348	7752
43	353	7670
44	358	7608
45	361	7507
46	370	7515
47	374	7436
48	378	7344
49	381	7257
50	385	7171
51	388	7088
52	392	7007
53	395	6935
54	399	6862
55	403	6797
56	414	6860
57	418	6800
58	426	6803
59	431	6757
60	435	6707
61	440	6660
62	445	6620
63	448	6554
64	452	6502
65	455	6451
66	460	6409
67	465	6386
68	470	6345
69	474	6298
70	480	6284
71	484	6242
72	488	6208
73	492	6162
74	496	6117
75	507	6173
76	512	6138
77	519	6144
78	524	6110
79	526	6057
80	533	6056
81	537	6020
82	542	5993
83	545	5945
84	548	5906
85	553	5880
86	556	5836
87	559	5803
88	565	5788
89	569	5758
90	576	5762
91	580	5728
92	586	5718
93	591	5700
94	594	5667
95	599	5647
96	603	5619
97	605	5576
98	616	5612
99	618	5568
100	622	5538
101	625	5503
102	628	5477
103	631	5441
104	635	5420
105	638	5383
106	642	5363
107	645	5328
108	650	5314
109	652	5279
110	655	5247
111	657	5216
112	660	5187
113	663	5155
114	667	5137
115	671	5115
116	673	5080
117	675	5051
118	680	5034
119	682	5003
120	684	4973
121	686	4943
122	689	4916
123	692	4894
124	695	4866
125	697	4840
126	699	4810
127	702	4784
128	705	4760
129	707	4733
130	711	4718
131	713	4694
132	717	4680
133	720	4657
134	723	4637
135	726	4614
136	729	4593
137	731	4570
138	734	4547
139	737	4532
140	740	4509
141	743	4490
142	745	4469
143	748	4449
144	750	4428
145	755	4419
146	758	4398
147	760	4379
148	763	4359
149	765	4337
150	770	4332
151	774	4323
152	777	4303
153	780	4290
154	783	4273
155	786	4257
156	789	4239
157	793	4231
158	796	4212
159	800	4204
160	802	4184
161	807	4176
162	810	4161
163	813	4146
164	816	4129
165	820	4122
166	823	4105
167	827	4096
168	830	4083
169	833	4067
170	836	4055
171	840	4045
172	843	4031
173	846	4020
174	851	4013
175	855	4004
176	858	3992
177	871	4022
178	876	4017
179	878	4003
180	882	3994
181	886	3982
182	894	3991
183	898	3984
184	901	3972
185	904	3957
186	908	3949
187	912	3942
188	916	3931
189	918	3917
190	921	3905
191	928	3905
192	930	3891
193	935	3887
194	939	3878
195	950	3897
196	960	3915
197	964	3907
198	968	3896
199	971	3887
200	974	3874
201	978	3866
202	987	3877
203	991	3870
204	995	3861
205	999	3853
206	1003	3843
207	1006	3830
208	1008	3817
209	1011	3805
210	1014	3794
211	1023	3805
212	1028	3799
213	1030	3786
214	1034	3776
215	1038	3771
216	1042	3761
217	1046	3754
